Id,Title,Method,Target,Operator,Expected,ExpectedData,ExpectedJson,TargetsJson,ValueType,SourceType,RegOption,CheckType,ManualReason
4.5.5,Ensure 'MSS: (EnableICMPRedirect) Allow ICMP redirects to override OSPF generated routes' is set to 'Disabled',Registry,HKLM\System\CurrentControlSet\Services\Tcpip\Parameters\EnableICMPRedirect,Equals,0,0,,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Services\\Tcpip\\Parameters"",""Name"":""EnableICMPRedirect"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.5.7,Ensure 'MSS: (NoNameReleaseOnDemand) Allow the computer to ignore NetBIOS name release requests except from WINS servers' is set to 'Enabled',Registry,HKLM\System\CurrentControlSet\Services\NetBT\Parameters\NoNameReleaseOnDemand,Equals,1,1,,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Services\\NetBT\\Parameters"",""Name"":""NoNameReleaseOnDemand"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.5.9,Ensure 'MSS: (SafeDllSearchMode) Enable Safe DLL search mode (recommended)' is set to 'Enabled',Registry,HKLM\System\CurrentControlSet\Control\Session Manager\SafeDllSearchMode,Equals,1,1,,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Control\\Session Manager"",""Name"":""SafeDllSearchMode"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.5.10,Ensure 'MSS: (ScreenSaverGracePeriod) The time in seconds before the screen saver grace period expires (0 recommended)' is set to 'Enabled: 5 or fewer seconds',Registry,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ScreenSaverGracePeriod,Range,[0..5],,,"[{""Path"":""HKLM\\Software\\Microsoft\\Windows NT\\CurrentVersion\\Winlogon"",""Name"":""ScreenSaverGracePeriod"",""Operator"":""Range"",""Expected"":""[0..5]"",""ExpectedData"":"""",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.5.13,Ensure 'MSS: (WarningLevel) Percentage threshold for the security event log at which the system will generate a warning' is set to 'Enabled: 90% or less',Registry,HKLM\System\CurrentControlSet\Services\Eventlog\Security\WarningLevel,Range,[1..90],,,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Services\\Eventlog\\Security"",""Name"":""WarningLevel"",""Operator"":""Range"",""Expected"":""[1..90]"",""ExpectedData"":"""",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.6.4.1,Ensure 'Turn off multicast name resolution' is set to 'Enabled',Registry,HKLM\SOFTWARE\Policies\Microsoft\Windows NT\DNSClient\EnableMulticast,Equals,0,0,,"[{""Path"":""HKLM\\SOFTWARE\\Policies\\Microsoft\\Windows NT\\DNSClient"",""Name"":""EnableMulticast"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.6.9.1,Ensure 'Prohibit installation and configuration of Network Bridge on your DNS domain network' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\Network Connections\NC_AllowNetBridge_NLA,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\Network Connections"",""Name"":""NC_AllowNetBridge_NLA"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.6.9.2,Ensure 'Prohibit use of Internet Connection Sharing on your DNS domain network' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\Network Connections\NC_ShowSharedAccessUI,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\Network Connections"",""Name"":""NC_ShowSharedAccessUI"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.6.9.3,Ensure 'Require domain users to elevate when setting a network's location' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\Network Connections\NC_StdDomainUserSetLocation,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\Network Connections"",""Name"":""NC_StdDomainUserSetLocation"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.6.18.1,Ensure 'Minimize the number of simultaneous connections to the Internet or a Windows Domain' is set to 'Enabled: 3 = Prevent Wi-Fi when on Ethernet',Registry,HKLM\Software\Policies\Microsoft\Windows\WcmSvc\GroupPolicy\fMinimizeConnections,Equals,3,3,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\WcmSvc\\GroupPolicy"",""Name"":""fMinimizeConnections"",""Operator"":""Equals"",""Expected"":""3"",""ExpectedData"":""3"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.6.18.2,Ensure 'Prohibit connection to non-domain networks when connected to domain authenticated network' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\WcmSvc\GroupPolicy\fBlockNonDomain,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\WcmSvc\\GroupPolicy"",""Name"":""fBlockNonDomain"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.1,Ensure 'Allow Print Spooler to accept client connections' is set to 'Disabled',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\RegisterSpoolerRemoteRpcEndPoint,Equals,2,2,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers"",""Name"":""RegisterSpoolerRemoteRpcEndPoint"",""Operator"":""Equals"",""Expected"":""2"",""ExpectedData"":""2"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.2,Ensure 'Configure Redirection Guard: Redirection Guard Options' is set to 'Enabled: Redirection Guard Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\RedirectionGuardPolicy,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers"",""Name"":""RedirectionGuardPolicy"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.3,Ensure 'Configure RPC connection settings: Protocol to use for outgoing RPC connections' is set to 'Enabled: RPC over TCP',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcUseNamedPipeProtocol,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers\\RPC"",""Name"":""RpcUseNamedPipeProtocol"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.4,Ensure 'Configure RPC connection settings: Use authentication for outgoing RPC connections' is set to 'Enabled: Default',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcAuthentication,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers\\RPC"",""Name"":""RpcAuthentication"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.5,Ensure 'Configure RPC listener settings: Authentication protocol to use for incoming RPC connections:' is set to 'Enabled: Negotiate' or higher,Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\RPC\ForceKerberosForRpc,In,0 OR 1,MA==;MQ==,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers\\RPC"",""Name"":""ForceKerberosForRpc"",""Operator"":""In"",""Expected"":""0 OR 1"",""ExpectedData"":""MA==;MQ=="",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.6,Ensure 'Configure RPC listener settings: Protocols to allow for incoming RPC connections' is set to 'Enabled: RPC over TCP',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcProtocols,Equals,5,5,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers\\RPC"",""Name"":""RpcProtocols"",""Operator"":""Equals"",""Expected"":""5"",""ExpectedData"":""5"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.7,Ensure 'Configure RPC over TCP port: RPC over TCP port:' is set to 'Enabled: 0',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\RPC\RpcTcpPort,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers\\RPC"",""Name"":""RpcTcpPort"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.8,Ensure 'Limits print driver installation to Administrators' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint\RestrictDriverInstallationToAdministrators,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers\\PointAndPrint"",""Name"":""RestrictDriverInstallationToAdministrators"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.9,Ensure 'Manage processing of Queue-specific files: Manage processing of Queue-Specific files' is set to 'Enabled: Limit Queue-specific files to Color profiles',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\CopyFilesPolicy,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers"",""Name"":""CopyFilesPolicy"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.10,Ensure 'Point and Print Restrictions: When installing drivers for a new connection' is set to 'Enabled: Show warning and elevation prompt',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint\NoWarningNoElevationOnInstall,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers\\PointAndPrint"",""Name"":""NoWarningNoElevationOnInstall"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.7.11,Ensure 'Point and Print Restrictions: When updating drivers for an existing connection' is set to 'Enabled: Show warning and elevation prompt',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\PointAndPrint\UpdatePromptSettings,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers\\PointAndPrint"",""Name"":""UpdatePromptSettings"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.9.1.1,Ensure 'Turn off toast notifications on the lock screen (User)' is set to 'Enabled',Registry,HKU\Software\Policies\Microsoft\Windows\CurrentVersion\PushNotifications\NoToastApplicationNotificationOnLockScreen,Equals,1,1,,"[{""Path"":""HKU\\Software\\Policies\\Microsoft\\Windows\\CurrentVersion\\PushNotifications"",""Name"":""NoToastApplicationNotificationOnLockScreen"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.4.1,Ensure 'Include command line in process creation events' is set to 'Enabled',Registry,HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System\Audit\ProcessCreationIncludeCmdLine_Enabled,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System\\Audit"",""Name"":""ProcessCreationIncludeCmdLine_Enabled"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.5.1,Ensure 'Encryption Oracle Remediation' is set to 'Enabled: Force Updated Clients',Registry,HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System\CredSSP\Parameters\AllowEncryptionOracle,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System\\CredSSP\\Parameters"",""Name"":""AllowEncryptionOracle"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.5.2,Ensure 'Remote host allows delegation of non-exportable credentials' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\CredentialsDelegation\AllowProtectedCreds,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\CredentialsDelegation"",""Name"":""AllowProtectedCreds"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.9.2,Ensure 'Prevent device metadata retrieval from the Internet' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\Device Metadata\PreventDeviceMetadataFromNetwork,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\Device Metadata"",""Name"":""PreventDeviceMetadataFromNetwork"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.13.1,"Ensure 'Boot-Start Driver Initialization Policy' is set to 'Enabled: Good, unknown and bad but critical'",Registry,HKLM\System\CurrentControlSet\Policies\EarlyLaunch\DriverLoadPolicy,Equals,3,3,,"[{""Path"":""HKLM\\System\\CurrentControlSet\\Policies\\EarlyLaunch"",""Name"":""DriverLoadPolicy"",""Operator"":""Equals"",""Expected"":""3"",""ExpectedData"":""3"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.19.1,Ensure 'Continue experiences on this device' is set to 'Disabled',Registry,HKLM\Software\Policies\Microsoft\Windows\System\EnableCdp,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\System"",""Name"":""EnableCdp"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.19.2,Ensure 'Turn off background refresh of Group Policy' is set to 'Disabled',Registry,HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\System\DisableBkGndGroupPolicy,NotExists,Must not exist,,,"[{""Path"":""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\System"",""Name"":""DisableBkGndGroupPolicy"",""Operator"":""NotExists"",""Expected"":""Must not exist"",""ExpectedData"":"""",""RegOption"":""MUST_NOT_EXIST""}]",POLICY_TEXT,REG_CHECK,MUST_NOT_EXIST,,
4.10.20.1.2,Ensure 'Turn off downloading of print drivers over HTTP' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows NT\Printers\DisableWebPnPDownload,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows NT\\Printers"",""Name"":""DisableWebPnPDownload"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.20.1.5,Ensure 'Turn off Internet download for Web publishing and online ordering wizards' is set to 'Enabled',Registry,HKLM\Software\Microsoft\Windows\CurrentVersion\Policies\Explorer\NoWebServices,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Microsoft\\Windows\\CurrentVersion\\Policies\\Explorer"",""Name"":""NoWebServices"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.26.1,Ensure 'Block user from showing account details on sign-in' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\System\BlockUserFromShowingAccountDetailsOnSignin,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\System"",""Name"":""BlockUserFromShowingAccountDetailsOnSignin"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.26.2,Ensure 'Do not display network selection UI' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\System\DontDisplayNetworkSelectionUI,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\System"",""Name"":""DontDisplayNetworkSelectionUI"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.26.3,Ensure 'Do not enumerate connected users on domain-joined computers' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\System\DontEnumerateConnectedUsers,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\System"",""Name"":""DontEnumerateConnectedUsers"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.26.4,Ensure 'Enumerate local users on domain-joined computers' is set to 'Disabled',Registry,HKLM\Software\Policies\Microsoft\Windows\System\EnumerateLocalUsers,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\System"",""Name"":""EnumerateLocalUsers"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.26.5,Ensure 'Turn off app notifications on the lock screen' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\System\DisableLockScreenAppNotifications,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\System"",""Name"":""DisableLockScreenAppNotifications"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.26.6,Ensure 'Turn off picture password sign-in' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Windows\System\BlockDomainPicturePassword,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\System"",""Name"":""BlockDomainPicturePassword"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.26.7,Ensure 'Turn on convenience PIN sign-in' is set to 'Disabled',Registry,HKLM\Software\Policies\Microsoft\Windows\System\AllowDomainPINLogon,Equals,0,0,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Windows\\System"",""Name"":""AllowDomainPINLogon"",""Operator"":""Equals"",""Expected"":""0"",""ExpectedData"":""0"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
4.10.29.5.1,Ensure 'Require a password when a computer wakes (on battery)' is set to 'Enabled',Registry,HKLM\Software\Policies\Microsoft\Power\PowerSettings\0e796bdb-100d-47d6-a2d5-f7d2daa51f51\DCSettingIndex,Equals,1,1,,"[{""Path"":""HKLM\\Software\\Policies\\Microsoft\\Power\\PowerSettings\\0e796bdb-100d-47d6-a2d5-f7d2daa51f51"",""Name"":""DCSettingIndex"",""Operator"":""Equals"",""Expected"":""1"",""ExpectedData"":""1"",""RegOption"":""CAN_NOT_BE_NULL""}]",POLICY_DWORD,REGISTRY_SETTING,CAN_NOT_BE_NULL,,
